id,content,messageType,createAt,conversationId,aditional_id
220,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-08 23:18:03.143-04,28,3J85EHXZGLH3NOTG7NHU
221,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-08 23:18:03.269-04,28,FXRQ8YBXX23UC7GC5HAI
222,Te asignaremos un Asesor en breves momentos,bot,2025-08-08 23:18:07.842-04,28,O7MNWYSUMP7ZMFXQMUHK
223,Hola buenos días. ,agent,2025-08-09 12:23:32.343-04,28,2MRHW1HWMJWWXQSGBYM7
224,"junto con saludar, escribe Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 12:24:03.518-04,28,L4NG872MWKSSHJIX3DHC
225,requieres orientación por deudas ? ,agent,2025-08-09 12:24:11.8-04,28,G5OKJRGJTGQYNSR2OVET
226,Si,user,2025-08-09 13:04:38.526-04,28,P4KZUMQJ7EMNACE57PBS
227,"https://conocetudeuda.cmfchile.cl/informe-deudas/622/w3-contents.html
",agent,2025-08-09 16:29:21.064-04,28,32KP3A6QVETQ2WPCBNTT
228,"descarga este informe , es sin costo (lo puedes descargar con tu rut yclave unica)",agent,2025-08-09 16:29:57.129-04,28,PX35I2IBJIN2OLZAKNIW
229,me lo adjuntas e indicame un rango de horario para contactar ,agent,2025-08-09 16:30:18.186-04,28,R4ROHXV34EJ13RJTMQ2E
230,"Solo tengo una deuda de 4.5 m ,dígame si califico o no",user,2025-08-09 16:40:16.744-04,28,2M6A8Z85QV2EX4J6O2C8
231,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-09 08:06:26.683-04,29,AWCWWY71AA1OSJPEE38D
232,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 08:06:26.914-04,29,6BGVF8FCQY8RVKTKSGCI
233,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 08:06:28.439-04,29,XBLV070TGSDU48MB021X
234,Gracias,user,2025-08-09 08:06:50.368-04,29,D5O0SJAO5XNR3KMSNWMH
235,Hola buenos días,agent,2025-08-09 12:28:01.257-04,29,SE55DJYE1JP4ZZVU4K70
236,"junto con saludar ,escribe Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 12:28:12.393-04,29,HI06CBE7WVJMX2CKO8JW
237,requieres orientación por deudas ?,agent,2025-08-09 12:28:18.473-04,29,6FOVKWS76E6ATX73KEGC
238,Hola buenas tardes si,user,2025-08-09 12:30:51.319-04,29,SMEWJBFH6C1EL1JHQP16
239,https://conocetudeuda.cmfchile.cl/informe-deudas/622/w3-contents.html,agent,2025-08-09 12:31:55.153-04,29,IA625HX1JFZWQPZADZ7E
240,"descarga este informe con tu rut y clave unica (es sin costo )
",agent,2025-08-09 12:32:04.268-04,29,7BDVZ7IK76D5DV8UPOHV
241,me lo adjuntas por este medio y coordinamos un llamado,agent,2025-08-09 12:32:09.411-04,29,ZSNB8QKKI2Y0F3KU7LY1
242,"",user,2025-08-09 12:36:11.424-04,29,W5MZ2NA6AOOXV52354AL
243,te puedo llamar ?,agent,2025-08-09 12:36:37.59-04,29,2HRQU2EY6TQ34JBI5XYE
244,Si,user,2025-08-09 12:36:47.54-04,29,PK4FRNUNJPN3AS7NIZFD
